No,Channel,Date,Title,category,product,Media Name,Link URL,Sentiment,brand,company,metric_name,metric_value
34,Online Media,2024-01-26,"Telcos, developers set to gain from data centre boom — CIMB, KAF",All Categories,All products,KLSE SCREENER,https://www.klsescreener.com/v2/news/view/1268877/telcos-developers-set-to-gain-from-data-centre-boom-cimb-kaf,positive,Time,Time,Ad Value,1600.0
35,Online Media,2024-01-26,"Telcos, developers set to gain from data centre boom — CIMB, KAF",All Categories,All products,THE EDGE,https://www.theedgemalaysia.com/node/698667,positive,Time,Time,Ad Value,2000.0
36,Online Media,2024-01-26,"Telcos, developers set to gain from data centre boom — CIMB, KAF",All Categories,All products,NEWSWAV.COM,https://newswav.com/article/telcos-developers-set-to-gain-from-data-centre-boom-cimb-kaf-A2401_cNksMZ,positive,Time,Time,Ad Value,2000.0
37,Online Media,2024-01-26,"Telcos, developers set to gain from data centre boom — CIMB, KAF",All Categories,All products,KLSE SCREENER,https://www.klsescreener.com/v2/news/view/1268877/Telcos_developers_set_to_gain_from_data_centre_boom_CIMB_KAF,positive,Time,Time,Ad Value,1600.0
38,Online Media,2024-01-26,"Telcos, developers set to gain from data centre boom — CIMB, KAF",All Categories,All products,MSN.COM MALAY,https://www.msn.com/en-my/money/topstories/telcos-developers-set-to-gain-from-data-centre-boom-cimb-kaf/ar-BB1hhbUw,positive,Time,Time,Ad Value,5600.0
1,Online Media,2024-03-02,Malaysia Data Center Colocation Market Report 2024: Supply & Demand Analysis 2023-2029 - Coverage o,"Enterprise, Wholesale, or Public Sector",Enterprise products,CRISIS MANAGEMENT CENTRE,http://www.businesswire.com/news/home/20240202564374/en/Malaysia-Data-Center-Colocation-Market-Report-2024-Supply-Demand-Analysis-2023-2029---Coverage-of-32-Existing-Facilities-and-25-Upcoming-Facilities---ResearchAndMarkets.com,positive,Time,Time,Ad Value,2000.0
2,Online Media,2024-07-02,Thailand Data Center Colocation Market Supply & Demand Analysis Report 2024-2029 Featuring Existing,"Enterprise, Wholesale, or Public Sector",Enterprise products,CRISIS MANAGEMENT CENTRE,http://www.businesswire.com/news/home/20240206835900/en/Thailand-Data-Center-Colocation-Market-Supply-Demand-Analysis-Report-2024-2029-Featuring-Existing-and-New-Players-Such-as-Telehouse-Evolution-AIS-Singtel-Gulf-Energy-Edge-CtrlS-Among-Others---ResearchAndMarkets.com,positive,Time,Time,Ad Value,2000.0
3,Online Media,2024-08-02,Going high-tech to meet internet demands,All Categories,All products,THE SUN DAILY,https://thesun.my/local_news/going-high-tech-to-meet-internet-demands-LE12075835,positive,Time,Time,Ad Value,1000.0
4,Online Media,2024-08-02,Going high-tech to meet internet demands,All Categories,All products,LUMI NEWS MALAYSIA,https://luminews.my/news/1954370,positive,Time,Time,Ad Value,2000.0
5,Online Media,2024-02-13,"""Gamuda's IBS capabilities to help it secure data centre jobs in Klang Valley""","Enterprise, Wholesale, or Public Sector",Enterprise products,NST ONLINE - MY,https://www.nst.com.my/business/corporate/2024/02/1012713/gamudas-ibs-capabilities-help-it-secure-data-centre-jobs-klang,positive,Time,Time,Ad Value,4800.0
